"","sitename","X.x","distances","rank","quartile","dispersion","X.y","site_transect","transect_no","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","BSR"
"29","Amalau",5,8.8575770606122,4,1,"Low",26,"Amalau_2",2,60.7692307692308,0,4.61538461538461,0,0.769230769230769,16.1538461538462,0,17.6923076923077,0,0,4.61538461538461,4.65217391304348
"30","Amalau",5,8.8575770606122,4,1,"Low",30,"Amalau_6",6,61.5384615384615,0,2.30769230769231,0,0,13.8461538461538,0,21.5384615384615,0,0.769230769230769,2.30769230769231,3.48275862068966
"31","Amaluia",6,14.4526844444854,19,3,"Med",32,"Amaluia_2",2,37.6923076923077,0.769230769230769,20,18.4615384615385,0,23.0769230769231,2.30769230769231,10.7692307692308,0,5.38461538461539,1.53846153846154,1.8
"32","Amaluia",6,14.4526844444854,19,3,"Med",36,"Amaluia_6",6,61.5384615384615,2.30769230769231,2.30769230769231,2.30769230769231,0,13.0769230769231,0,16.1538461538462,0,4.61538461538461,0,3.23333333333333
"33","Amaluia",6,14.4526844444854,19,3,"Med",34,"Amaluia_4",4,48.4615384615385,1.53846153846154,6.15384615384615,6.15384615384615,0,22.3076923076923,0,16.9230769230769,0,4.61538461538461,0,2.55555555555556
"34","Amaluia",6,14.4526844444854,19,3,"Med",33,"Amaluia_3",3,46.1538461538462,2.30769230769231,20.7692307692308,19.2307692307692,0,21.5384615384615,0,6.92307692307692,0,2.30769230769231,1.53846153846154,2.43243243243244
"35","Amaluia",6,14.4526844444854,19,3,"Med",31,"Amaluia_1",1,53.0769230769231,8.46153846153846,0,0,0,23.0769230769231,0,13.0769230769231,0,2.30769230769231,0,4.94999999999999
"36","Amaluia",6,14.4526844444854,19,3,"Med",35,"Amaluia_5",5,40,3.07692307692308,6.15384615384615,5.38461538461539,0,19.2307692307692,0,23.0769230769231,0,8.46153846153846,0.769230769230769,1.625
"37","Amanave",7,11.335167592605,13,2,"Med",37,"Amanave_1",1,42.3076923076923,7.69230769230769,0,0,1.53846153846154,23.8461538461538,0,23.0769230769231,0,1.53846153846154,0,2.75
"38","Amanave",7,11.335167592605,13,2,"Med",38,"Amanave_2",2,53.8461538461538,13.0769230769231,0.769230769230769,0.769230769230769,0,21.5384615384615,0,10,0,0.769230769230769,0,6.53333333333333
"39","Amanave",7,11.335167592605,13,2,"Med",41,"Amanave_5",5,68.4615384615385,4.61538461538461,0,0,0,23.8461538461538,0,2.30769230769231,0,0.769230769230769,0,30
"40","Amanave",7,11.335167592605,13,2,"Med",40,"Amanave_4",4,66.1538461538462,4.61538461538461,0,0,0,21.5384615384615,0,6.92307692307692,0,0.769230769230769,0,11.4
"41","Amanave",7,11.335167592605,13,2,"Med",42,"Amanave_6",6,53.8461538461538,5.38461538461539,0,0,0,33.8461538461538,0,6.15384615384615,0,0.769230769230769,0,12.6666666666667
"42","Amanave",7,11.335167592605,13,2,"Med",39,"Amanave_3",3,55.3846153846154,3.84615384615385,0,0,0,29.2307692307692,0,7.69230769230769,0,3.84615384615385,0,7.33333333333333
"43","Amaua",8,16.5271494582624,25,4,"High",44,"Amaua_2",2,4.61538461538461,0.769230769230769,27.6923076923077,27.6923076923077,0,23.8461538461538,0,41.5384615384615,0,1.53846153846154,0,0.402173913043478
"44","Amaua",8,16.5271494582624,25,4,"High",43,"Amaua_1",1,35.3846153846154,0.769230769230769,3.84615384615385,3.84615384615385,0,23.0769230769231,0,31.5384615384615,0,5.38461538461539,0,1.43396226415095
"45","Amaua",8,16.5271494582624,25,4,"High",45,"Amaua_3",3,9.23076923076923,0,13.8461538461538,13.8461538461538,0,36.9230769230769,0,36.9230769230769,0,3.07692307692308,0,0.857142857142858
"46","Amaua",8,16.5271494582624,25,4,"High",46,"Amaua_4",4,6.15384615384615,6.92307692307692,10.7692307692308,10.7692307692308,0,27.6923076923077,0,48.4615384615385,0,0,0,0.571428571428571
"47","Amaua",8,16.5271494582624,25,4,"High",47,"Amaua_5",5,1.53846153846154,13.0769230769231,12.3076923076923,12.3076923076923,0,29.2307692307692,0,43.8461538461538,0,0,0,0.547945205479452
"48","Amaua",8,16.5271494582624,25,4,"High",48,"Amaua_6",6,5.38461538461539,10,6.15384615384615,5.38461538461539,0,37.6923076923077,0,36.9230769230769,0,3.84615384615385,0.769230769230769,0.950000000000001
"49","Amouli",9,12.2408567546357,15,3,"Med",52,"Amouli_4",4,44.6153846153846,1.53846153846154,0,0,0,37.6923076923077,0.769230769230769,9.23076923076923,0,6.15384615384615,0,5.35
"50","Amouli",9,12.2408567546357,15,3,"Med",51,"Amouli_3",3,13.0769230769231,2.30769230769231,1.53846153846154,1.53846153846154,0,49.2307692307692,0,31.5384615384615,0,2.30769230769231,0,1.76086956521739
"51","Amouli",9,12.2408567546357,15,3,"Med",54,"Amouli_6",6,35.3846153846154,3.07692307692308,0,0,0.769230769230769,39.2307692307692,0,19.2307692307692,0,2.30769230769231,0,3.5
"52","Amouli",9,12.2408567546357,15,3,"Med",50,"Amouli_2",2,21.5384615384615,3.07692307692308,0.769230769230769,0.769230769230769,0,40,0,31.5384615384615,0,3.07692307692308,0,1.73913043478261
"53","Amouli",9,12.2408567546357,15,3,"Med",53,"Amouli_5",5,27.2,1.6,0,0,0,50.4,0,17.6,0,3.2,0,3.73076923076923
"54","Amouli",9,12.2408567546357,15,3,"Med",49,"Amouli_1",1,30.7692307692308,3.07692307692308,0,0,0.769230769230769,42.3076923076923,0,20.7692307692308,0,2.30769230769231,0,3.2
"55","Aoa",10,14.4656709965371,20,3,"Med",60,"Aoa_6",6,60.7692307692308,1.53846153846154,0.769230769230769,0.769230769230769,7.69230769230769,16.1538461538462,0,10.7692307692308,0,2.30769230769231,0,6.1111111111111
"56","Aoa",10,14.4656709965371,20,3,"Med",58,"Aoa_4",4,50.7692307692308,1.53846153846154,1.53846153846154,0,10.7692307692308,10,0.769230769230769,15.3846153846154,0,9.23076923076923,1.53846153846154,2.96875
"57","Aoa",10,14.4656709965371,20,3,"Med",56,"Aoa_2",2,37.6923076923077,0,3.07692307692308,2.30769230769231,13.0769230769231,4.61538461538461,0.769230769230769,23.8461538461538,0,16.9230769230769,0.769230769230769,1.30357142857143
"58","Aoa",10,14.4656709965371,20,3,"Med",55,"Aoa_1",1,41.5384615384615,0,4.61538461538461,4.61538461538461,2.30769230769231,8.46153846153846,1.53846153846154,15.3846153846154,0,25.3846153846154,0,1.15254237288135
"59","Aoa",10,14.4656709965371,20,3,"Med",59,"Aoa_5",5,43.8461538461538,0,0,0,24.6153846153846,8.46153846153846,0,18.4615384615385,0,4.61538461538461,0,3.33333333333333
"60","Aoa",10,14.4656709965371,20,3,"Med",57,"Aoa_3",3,59.2307692307692,0,0.769230769230769,0,18.4615384615385,3.84615384615385,0,15.3846153846154,0,2.30769230769231,0.769230769230769,4.65217391304347
"61","Fagaalu",11,10.6219031857179,9,2,"Med",62,"Fagaalu_2",2,13.8461538461538,0,0,0,0,40.7692307692308,0,43.0769230769231,0,2.30769230769231,0,1.20338983050847
"62","Fagaalu",11,10.6219031857179,9,2,"Med",63,"Fagaalu_3",3,11.5384615384615,0,0,0,0,31.5384615384615,0,54.6153846153846,0,2.30769230769231,0,0.756756756756756
"63","Fagaalu",11,10.6219031857179,9,2,"Med",65,"Fagaalu_5",5,12.3076923076923,0,0,0,0,39.2307692307692,0,46.9230769230769,0,1.53846153846154,0,1.06349206349206
"64","Fagaalu",11,10.6219031857179,9,2,"Med",66,"Fagaalu_6",6,7.69230769230769,1.53846153846154,0,0,0,26.1538461538462,0,63.0769230769231,0,1.53846153846154,0,0.523809523809524
"65","Fagaalu",11,10.6219031857179,9,2,"Med",64,"Fagaalu_4",4,11.5384615384615,9.23076923076923,0,0,0,25.3846153846154,0,48.4615384615385,0,5.38461538461539,0,0.685714285714285
"66","Fagaalu",11,10.6219031857179,9,2,"Med",61,"Fagaalu_1",1,0.769230769230769,0,1.53846153846154,0,0,32.3076923076923,0,62.3076923076923,0,3.07692307692308,1.53846153846154,0.529411764705882
"67","Fagaitua",12,7.39668433876991,2,1,"Low",67,"Fagaitua_1",1,44.6153846153846,0.769230769230769,0,0,1.53846153846154,33.8461538461538,0,14.6153846153846,0,4.61538461538461,0,4.16
"68","Fagaitua",12,7.39668433876991,2,1,"Low",70,"Fagaitua_4",4,41.5384615384615,3.07692307692308,2.30769230769231,1.53846153846154,5.38461538461539,32.3076923076923,0,13.0769230769231,0,2.30769230769231,0.769230769230769,4.72727272727272
"69","Fagaitua",12,7.39668433876991,2,1,"Low",71,"Fagaitua_5",5,42.3076923076923,0.769230769230769,1.53846153846154,0.769230769230769,3.84615384615385,35.3846153846154,0,10,0,6.15384615384615,0.769230769230769,4.86363636363637
"70","Fagaitua",12,7.39668433876991,2,1,"Low",68,"Fagaitua_2",2,40.7692307692308,2.30769230769231,3.84615384615385,2.30769230769231,2.30769230769231,18.4615384615385,0,24.6153846153846,0.769230769230769,6.92307692307692,1.53846153846154,1.86363636363637
"71","Fagaitua",12,7.39668433876991,2,1,"Low",69,"Fagaitua_3",3,40.7692307692308,0,1.53846153846154,0,6.92307692307692,27.6923076923077,0,14.6153846153846,0,8.46153846153846,1.53846153846154,3.33333333333334
"72","Fagaitua",12,7.39668433876991,2,1,"Low",72,"Fagaitua_6",6,38.4615384615385,0.769230769230769,2.30769230769231,0,5.38461538461539,32.3076923076923,0,16.9230769230769,0,3.84615384615385,2.30769230769231,3.77777777777778
"73","Fagamalo",13,11.9339263734773,14,2,"Med",73,"Fagamalo_1",1,30,0,1.53846153846154,0,1.53846153846154,25.3846153846154,0,24.6153846153846,0,16.9230769230769,1.53846153846154,1.40740740740741
"74","Fagamalo",13,11.9339263734773,14,2,"Med",76,"Fagamalo_4",4,16.9230769230769,0,0,0,0,42.3076923076923,0,23.0769230769231,0,17.6923076923077,0,1.45283018867924
"75","Fagamalo",13,11.9339263734773,14,2,"Med",77,"Fagamalo_5",5,10.7692307692308,0,0,0,0,41.5384615384615,0,27.6923076923077,0,12.3076923076923,0,1.30769230769231
"76","Fagamalo",13,11.9339263734773,14,2,"Med",78,"Fagamalo_6",6,14.6153846153846,0,1.53846153846154,0.769230769230769,0.769230769230769,34.6153846153846,0,29.2307692307692,0,19.2307692307692,0.769230769230769,1.03125
"77","Fagamalo",13,11.9339263734773,14,2,"Med",75,"Fagamalo_3",3,31.5384615384615,0,3.07692307692308,0,4.61538461538461,23.8461538461538,0.769230769230769,16.1538461538462,0,20,3.07692307692308,1.74468085106383
"78","Fagamalo",13,11.9339263734773,14,2,"Med",74,"Fagamalo_2",2,25.3846153846154,0,3.07692307692308,0,0.769230769230769,26.9230769230769,0,23.0769230769231,0,20.7692307692308,3.07692307692308,1.28070175438596
"79","Fagasa2",14,16.9353076464564,26,4,"High",83,"Fagasa2_5",5,13.8461538461538,0,10,8.46153846153846,1.53846153846154,35.3846153846154,0,20.7692307692308,0,18.4615384615385,1.53846153846154,1.09677419354839
"80","Fagasa2",14,16.9353076464564,26,4,"High",84,"Fagasa2_6",6,10,0.769230769230769,7.69230769230769,0,2.30769230769231,42.3076923076923,0,15.3846153846154,0,21.5384615384615,7.69230769230769,1.6875
"81","Fagasa2",14,16.9353076464564,26,4,"High",81,"Fagasa2_3",3,21.5384615384615,0,10,7.69230769230769,3.07692307692308,13.8461538461538,0,20.7692307692308,0,30.7692307692308,2.30769230769231,0.688311688311686
"82","Fagasa2",14,16.9353076464564,26,4,"High",82,"Fagasa2_4",4,26.1538461538462,3.07692307692308,7.69230769230769,0.769230769230769,4.61538461538461,13.8461538461538,0,18.4615384615385,0,26.1538461538462,6.92307692307692,1.13559322033898
"83","Fagasa2",14,16.9353076464564,26,4,"High",79,"Fagasa2_1",1,26.9230769230769,0,7.69230769230769,0,8.46153846153846,10.7692307692308,0,13.8461538461538,0,32.3076923076923,7.69230769230769,1.16666666666667
"84","Fagasa2",14,16.9353076464564,26,4,"High",80,"Fagasa2_2",2,30.7692307692308,0,5.38461538461539,0,21.5384615384615,9.23076923076923,1.53846153846154,7.69230769230769,0,23.8461538461538,5.38461538461539,2.1219512195122
